VegID,CommonName,GenusGroup,Family,GrowthForm,Type,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6,References,Comment
Acer nigrum,black maple,Acer,Sapindaceae,Btr,species,0.003,0,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer pensylvanicum,striped maple,Acer,Sapindaceae,Btr,species,0.003,0,0.12,0.2,0.04,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer rubrum,red maple,Acer,Sapindaceae,Btr,species,0.003,0,0.11,0.12,0.02,0.04,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer saccharinum,silver maple,Acer,Sapindaceae,Btr,species,0.003,0,0.23,0.31,0.11,0.32,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer saccharum,sugar maple,Acer,Sapindaceae,Btr,species,0.003,0,0.11,0.12,0.02,0.04,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Acer spicatum,mountain maple,Acer,Sapindaceae,Btr,species,0.003,0,0.074,0.065,0.017,0.097,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.6,0.9,0.4,0.5,,Previously included in Aceraceae family
Aesculus,buckeye,Aesculus,Hippocastanaceae,Btr,genus,0.003,0,0.18,0.19,0.05,0.13,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Aesculus californica,California buckeye,Aesculus,Hippocastanaceae,Btr,species,0.003,0,0.2,0.2,0.07,0.3,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Aesculus flava,yellow buckeye,Aesculus,Hippocastanaceae,Btr,species,0.003,0,0.2,0.2,0.07,0.3,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Aesculus glabra,Ohio buckeye,Aesculus,Hippocastanaceae,Btr,species,0.003,0,0.2,0.2,0.07,0.3,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Ailanthus altissima,tree of heaven,Ailanthus,Simaroubaceae,Btr,species,0.003,0,0.08,0.1,0.05,0.05,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Albizia julibrissin,silktree,Albizia,Fabaceae,Btr,species,2,0,0.25,0.15,0.05,0.1,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
