VegID,CommonName,GenusGroup,Family,GrowthForm,Type,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6,References,Comment
Picea glauca,white spruce,Picea_N,Pinaceae,Ntr,species,8,0,0.2,0.3,0.1,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Picea mariana,black spruce,Picea_N,Pinaceae,Ntr,species,8,0,0.2,0.3,0.1,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Picea pungens,blue spruce,Picea_N,Pinaceae,Ntr,species,8,0,0.2,0.3,0.1,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Picea rubens,red spruce,Picea_N,Pinaceae,Ntr,species,8,0,0.2,0.3,0.1,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Picea sitchensis,Sitka spruce,Picea_N,Pinaceae,Ntr,species,8,0,0.2,0.3,0.1,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus,pine ,Pinus,Pinaceae,Ntr,genus,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus albicaulis,whitebark pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus aristata,bristlecone pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus attenuata,knobcone pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus balfouriana,foxtail pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus banksiana,jack pine,Pinus_MBO1,Pinaceae,Ntr,species,0.003,12,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus cembroides,Mexican pinyon,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus clausa,sand pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus contorta,lodgepole pine,Pinus_MBO1,Pinaceae,Ntr,species,0.003,12,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus contorta var. contorta,beach pine,Pinus_MBO1,Pinaceae,Ntr,species,0.003,12,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus coulteri,Coulter pine,Pinus_MBO1,Pinaceae,Ntr,species,0.003,12,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus discolor,border pinyon,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus echinata,shortleaf pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus edulis,twoneedle pinyon,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus elliottii,slash pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus elliottii var. densa,Florida slash pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus flexilis,limber pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus glabra,spruce pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus jeffreyi,Jeffrey pine,Pinus_MBO1,Pinaceae,Ntr,species,0.003,12,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus lambertiana,sugar pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus leiophylla,Chihuahuan pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus monophylla,singleleaf pinyon,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus monticola,western white pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus muricata,Bishop pine,Pinus_MBO1,Pinaceae,Ntr,species,0.003,12,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus palustris,longleaf pine,Pinus_MBO1,Pinaceae,Ntr,species,0.003,12,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus ponderosa,ponderosa pine,Pinus_MBO1,Pinaceae,Ntr,species,0.003,12,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus pungens,Table Mountain pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus quadrifolia,Parry pinyon,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus radiata,Monterey pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus resinosa,red pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus rigida,pitch pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus sabiniana,California foothill pine,Pinus_MBO1,Pinaceae,Ntr,species,0.003,12,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus serotina,pond pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus strobiformis,southwestern white pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus strobus,eastern white pine,Pinus,Pinaceae,Ntr,species,0.003,0.3,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus taeda,loblolly pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pinus virginiana,Virginia pine,Pinus_MBO2,Pinaceae,Ntr,species,0.003,2,0.45,0.25,0.4,0.3,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pithecellobium flexicaule,,Pithecellobium,Fabaceae,Btr,species,8,0,0.15,0.15,0.08,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Platanus,,Platanus,Platanaceae,Btr,species,24,0,0.08,0.3,0.06,0.04,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Platanus mexicana,,Platanus,Platanaceae,Btr,species,24,0,0.08,0.3,0.06,0.04,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Platanus occidentalis,American sycamore,Platanus,Platanaceae,Btr,species,24,0,0.08,0.3,0.06,0.04,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Platanus racemosa,California sycamore,Platanus,Platanaceae,Btr,species,24,0,0.08,0.3,0.06,0.04,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Polygala,polygala,Polygala,Polygalaceae,Btr,genus,8,0,0.15,0.2,0.08,0.12,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus,,Populus,Salicaceae,Btr,genus,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus alba,white poplar,Populus,Salicaceae,Btr,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus angustifolia,narrowleaf cottonwood,Populus,Salicaceae,Btr,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus balsamifera,balsam poplar,Populus,Salicaceae,Btr,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus balsamifera ssp. trichocarpa,black cottonwood,Populus,Salicaceae,Btr,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus deltoides,eastern cottonwood,Populus,Salicaceae,Btr,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus deltoides ssp. wislizeni,Rio Grande cottonwood,Populus,Salicaceae,Btr,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus fremontii,Fremont cottonwood,Populus,Salicaceae,Btr,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus grandidentata,bigtooth aspen,Populus,Salicaceae,Btr,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus heterophylla,swamp cottonwood,Populus,Salicaceae,Btr,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus tremuloides,quaking aspen,Populus,Salicaceae,Btr,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Populus trichocarpa,,Populus,Salicaceae,Unknown,species,37,0,0.07,0.2,0.07,0.07,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prosopis,mesquite,Prosopis,Fabaceae,Btr,genus,0.003,0,0.1,0.1,0.15,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prosopis juliflora,mesquite,Prosopis,Fabaceae,Btr,species,0.003,0,0.1,0.1,0.15,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prosopis glandulosa,mesquite,Prosopis,Fabaceae,Btr,species,0.003,0,0.1,0.1,0.15,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prosopis pubescens,screwbean mesquite,Prosopis,Fabaceae,Btr,species,0.003,0,0.17,0.087,0.024,0.036,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus,plum,Prunus,Rosaceae,Btr,genus,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus americana,American plum,Prunus,Rosaceae,Btr,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus andersonii,desert peach,Prunus,Rosaceae,Shrub,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus angustifolia,Chickasaw plum,Prunus,Rosaceae,Btr,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus laurocerasus,American plum,Prunus,Rosaceae,Btr,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus persica,desert peach,Prunus,Rosaceae,Shrub,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus species,Chickasaw plum,Prunus,Rosaceae,Btr,genus,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus caroliniana,Carolina laurelcherry,Prunus,Rosaceae,Btr,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus emarginata,bitter cherry,Prunus,Rosaceae,Btr,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus fasciculata,desert almond,Prunus,Rosaceae,Shrub,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus maritima,beach plum,Prunus,Rosaceae,Shrub,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus nigra,Canadian plum,Prunus,Rosaceae,Btr,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus pensylvanica,pin cherry,Prunus,Rosaceae,Btr,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus serotina,black cherry,Prunus,Rosaceae,Btr,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus subcordata,Klamath plum,Prunus,Rosaceae,Btr,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Prunus virginiana,chokecherry,Prunus,Rosaceae,Btr,species,0.003,0,0.5,0.4,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pyrus calleryana,black cherry,Prunus,Rosaceae,Btr,species,0.003,0,0.2,0.2,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pyrus communis,Klamath plum,Prunus,Rosaceae,Btr,species,0.003,0,0.2,0.2,0.1,0.15,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pseudotsuga,Douglas-fir,Pseudotsuga,Pinaceae,Ntr,genus,0.003,0,0.2,0.4,0.03,0.08,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pseudotsuga macrocarpa,bigcone Douglas-fir,Pseudotsuga,Pinaceae,Ntr,species,0.003,0,0.2,0.4,0.03,0.08,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pseudotsuga menziesii,Douglas-fir,Pseudotsuga,Pinaceae,Ntr,species,0.003,0,0.2,0.4,0.03,0.08,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,Pseudotsuga,Pinaceae,Ntr,species,0.003,0,0.2,0.4,0.03,0.08,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus,oak,Quercus,Fagaceae,Btr,genus,24,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus agrifolia,California live oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus alba,white oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus alvordiana,,Quercus,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus bicolor,swamp white oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus chrysolepis,canyon live oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus coccinea,scarlet oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus douglasii,blue oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus durandii,,Quercus,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus durandii var. breviloba,,Quercus,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus ellipsoidalis,northern pin oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus emoryi,Emory oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus engelmannii,Engelmann oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus falcata,southern red oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus gambelii,Gambel oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus garryana,Oregon white oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus garryana var. breweri,,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus geminata,sand live oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus grisea,gray oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus havardii,Havard oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus hypoleucoides,silverleaf oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus ilicifolia,bear oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus imbricaria,shingle oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Quercus incana,bluejack oak,Quercus_Iso,Fagaceae,Btr,species,34,0,0.3,0.3,0.2,0.2,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
