gridID,EcotypeID,EcotypeFrac
1,5314,0.9561
1,5539,0.0439
2,5314,0.6394
2,5539,0.3606
3,5314,0.9952
3,5539,0.0048
4,5314,0.8641
4,5539,0.1359
5,5539,0.0193
5,5314,0.9807
6,5314,1.0000
7,5314,1.0000
8,5314,1.0000
9,5314,1.0000
10,5314,1.0000
11,5314,0.9952
11,5423,0.0048
12,5314,0.1005
12,5423,0.8995
13,5423,0.3961
13,5314,0.6039
14,5314,1.0000
15,5314,1.0000
16,5314,0.9126
16,5419,0.0874
17,5314,0.0913
17,5419,0.9087
18,5419,1.0000
19,5419,1.0000
20,5419,1.0000
21,5419,1.0000
22,5419,1.0000
23,5419,1.0000
24,5419,1.0000
25,5419,1.0000
26,5419,0.4348
26,5423,0.5652
27,5423,1.0000
28,5423,0.6505
28,5315,0.3495
29,5315,0.0773
29,5423,0.9227
30,5423,1.0000
31,5423,1.0000
32,5423,1.0000
33,5423,1.0000
34,5423,1.0000
35,5423,1.0000
36,5423,1.0000
37,5423,1.0000
38,5423,0.9187
38,5419,0.0574
38,5315,0.0239
39,5423,0.4439
39,5315,0.5268
39,5419,0.0293
40,5423,0.1520
40,5315,0.8137
40,5419,0.0343
41,5315,0.4360
41,5419,0.5640
42,5315,0.2709
42,5419,0.7291
43,5315,0.3951
43,5419,0.6049
44,5315,0.1754
44,5419,0.8246
45,5315,0.0980
45,5419,0.9020
46,5419,1.0000
47,5419,0.7440
47,5315,0.2560
48,5419,0.4439
48,5315,0.5561
49,5315,0.9381
49,5419,0.0619
50,5315,1.0000
51,5315,1.0000
52,5315,1.0000
53,5315,1.0000
54,5315,1.0000
55,5315,1.0000
56,5315,0.5922
56,5427,0.4078
57,5427,1.0000
58,5427,0.6429
58,5428,0.3571
59,5428,0.9648
59,5427,0.0352
60,5427,0.0381
60,5428,0.9619
61,5428,1.0000
62,5428,1.0000
63,5428,1.0000
64,5428,1.0000
65,5428,1.0000
66,5428,1.0000
67,5428,1.0000
68,5428,1.0000
69,5428,1.0000
70,5428,1.0000
71,5428,1.0000
72,5428,1.0000
73,5428,1.0000
74,5428,1.0000
75,5428,1.0000
76,5428,0.6049
76,5380,0.2829
76,-999,0.1122
77,-999,0.1286
77,5380,0.8238
77,5428,0.0476
78,5380,0.6000
78,-999,0.4000
79,-999,0.2714
79,5380,0.7286
80,-999,0.7333
80,5380,0.2667
81,-999,1.0000
82,-999,1.0000
83,-999,1.0000
84,-999,1.0000
85,-999,1.0000
86,-999,1.0000
87,-999,1.0000
88,-999,1.0000
89,-999,1.0000
90,-999,1.0000
91,-999,1.0000
92,-999,1.0000
93,-999,1.0000
94,-999,1.0000
95,-999,1.0000
96,-999,1.0000
97,-999,1.0000
98,-999,1.0000
99,-999,1.0000
100,-999,1.0000
101,-999,1.0000
102,-999,1.0000
103,-999,1.0000
104,-999,1.0000
105,-999,1.0000
106,-999,1.0000
107,-999,1.0000
108,-999,1.0000
109,-999,1.0000
110,-999,1.0000
111,-999,1.0000
112,-999,1.0000
113,-999,1.0000
114,-999,1.0000
115,-999,1.0000
116,-999,1.0000
117,-999,1.0000
118,-999,1.0000
119,-999,1.0000
120,-999,1.0000
121,-999,1.0000
122,-999,1.0000
123,-999,1.0000
124,-999,1.0000
125,-999,1.0000
126,-999,1.0000
127,-999,1.0000
128,-999,1.0000
129,-999,1.0000
130,-999,1.0000
131,-999,1.0000
132,-999,1.0000
133,-999,1.0000
134,-999,1.0000
135,-999,1.0000
136,-999,1.0000
137,-999,1.0000
138,-999,1.0000
139,-999,1.0000
140,-999,1.0000
141,-999,1.0000
142,-999,1.0000
143,-999,1.0000
144,-999,1.0000
145,-999,1.0000
146,-999,1.0000
147,-999,1.0000
148,-999,1.0000
149,-999,1.0000
150,5314,1.0000
151,5314,0.9951
151,5539,0.0049
152,5314,1.0000
153,5314,1.0000
154,5314,1.0000
155,5314,1.0000
156,5314,1.0000
157,5314,1.0000
158,5314,1.0000
159,5314,1.0000
160,5314,1.0000
161,5314,0.8647
161,5423,0.1353
162,5423,0.0048
162,5314,0.9952
163,5314,1.0000
164,5314,1.0000
165,5314,0.6490
165,5419,0.3510
166,5419,1.0000
167,5419,1.0000
168,5419,1.0000
169,5419,1.0000
170,5419,1.0000
171,5419,1.0000
172,5419,1.0000
173,5419,0.9614
173,5315,0.0386
174,5419,1.0000
175,5419,0.9227
175,5423,0.0773
176,5423,0.9179
176,5419,0.0821
177,5423,1.0000
178,5423,1.0000
179,5423,1.0000
180,5423,1.0000
181,5423,1.0000
182,5423,1.0000
183,5423,1.0000
184,5423,1.0000
185,5423,0.9524
185,5315,0.0476
186,5423,0.4928
186,5315,0.5072
187,5423,0.0194
187,5315,0.4757
187,5419,0.5049
188,5419,0.8454
188,5315,0.1546
189,5315,0.1762
189,5419,0.8238
190,5419,1.0000
191,5419,1.0000
192,5419,1.0000
193,5419,1.0000
194,5419,1.0000
195,5419,1.0000
196,5419,0.9901
196,5315,0.0099
197,5419,0.9857
197,5315,0.0143
198,5419,0.9163
198,5315,0.0837
199,5315,0.6286
199,5419,0.3714
200,5315,1.0000
201,5315,1.0000
202,5315,0.9900
202,5427,0.0100
203,5315,0.7762
203,5427,0.2238
204,5315,1.0000
205,5315,0.4787
205,5427,0.5213
206,5427,1.0000
207,5427,0.8429
207,5428,0.1571
208,5428,0.6190
208,5427,0.3810
209,5428,1.0000
210,5428,1.0000
211,5428,1.0000
212,5428,1.0000
213,5428,1.0000
214,5428,1.0000
215,5428,1.0000
216,5428,1.0000
217,5428,1.0000
218,5428,1.0000
219,5428,1.0000
220,5428,1.0000
221,5428,1.0000
222,5428,1.0000
223,5428,1.0000
224,5428,1.0000
225,5428,1.0000
226,5428,0.4974
226,5380,0.5026
227,5380,1.0000
228,5380,1.0000
229,5380,0.8141
229,-999,0.1859
230,-999,0.9857
230,5380,0.0143
231,-999,1.0000
232,-999,1.0000
233,-999,1.0000
234,-999,1.0000
235,-999,1.0000
236,-999,1.0000
237,-999,1.0000
238,-999,1.0000
239,-999,1.0000
240,-999,1.0000
241,-999,1.0000
242,-999,1.0000
243,-999,1.0000
244,-999,1.0000
245,-999,1.0000
246,-999,1.0000
247,-999,1.0000
248,-999,1.0000
249,-999,1.0000
250,-999,1.0000
251,-999,1.0000
252,-999,1.0000
253,-999,1.0000
254,-999,1.0000
255,-999,1.0000
256,-999,1.0000
257,-999,1.0000
258,-999,1.0000
259,-999,1.0000
260,-999,1.0000
261,-999,1.0000
262,-999,1.0000
263,-999,1.0000
264,-999,1.0000
265,-999,1.0000
266,-999,1.0000
267,-999,1.0000
268,-999,1.0000
269,-999,1.0000
270,-999,1.0000
271,-999,1.0000
272,-999,1.0000
273,-999,1.0000
274,-999,1.0000
275,-999,1.0000
276,-999,1.0000
277,-999,1.0000
278,-999,1.0000
279,-999,1.0000
280,-999,1.0000
281,-999,1.0000
282,-999,1.0000
283,-999,1.0000
284,-999,1.0000
285,-999,1.0000
286,-999,1.0000
287,-999,1.0000
288,-999,1.0000
289,-999,1.0000
290,-999,1.0000
291,-999,1.0000
292,-999,1.0000
293,-999,1.0000
294,-999,1.0000
295,-999,1.0000
296,-999,1.0000
297,-999,1.0000
298,-999,1.0000
299,5314,0.9712
299,5539,0.0288
300,5314,1.0000
301,5314,1.0000
302,5314,1.0000
303,5314,1.0000
304,5314,1.0000
305,5314,1.0000
306,5314,1.0000
307,5314,1.0000
308,5314,1.0000
309,5314,1.0000
310,5314,0.9615
310,5419,0.0385
311,5314,1.0000
312,5314,0.9563
312,5419,0.0437
313,5314,0.5894
313,5419,0.4106
314,5314,0.2057
314,5419,0.7943
315,5419,1.0000
316,5419,1.0000
317,5419,1.0000
318,5419,1.0000
319,5419,1.0000
320,5419,1.0000
321,5419,1.0000
322,5419,0.2404
322,5315,0.7596
323,5419,0.9183
323,5315,0.0817
324,5419,1.0000
325,5419,0.4976
325,5423,0.5024
326,5423,1.0000
327,5423,1.0000
328,5423,1.0000
329,5423,1.0000
330,5423,1.0000
331,5423,0.9856
331,5419,0.0144
332,5423,0.7816
332,5419,0.2184
333,5423,0.4712
333,5419,0.5288
334,5423,0.1029
334,5315,0.1618
334,5419,0.7353
335,5315,0.3805
335,5419,0.6195
336,5315,0.0437
336,5419,0.9563
337,5419,1.0000
338,5419,1.0000
339,5419,1.0000
340,5419,1.0000
341,5419,1.0000
342,5419,1.0000
343,5419,1.0000
344,5419,1.0000
345,5419,0.8768
345,5315,0.1232
346,5315,0.0976
346,5419,0.9024
347,5419,1.0000
348,5419,0.7536
348,5315,0.2464
349,5315,0.9135
349,5419,0.0865
350,5315,0.9567
350,5427,0.0433
351,5315,0.3702
351,5427,0.6298
352,5315,0.8173
352,5427,0.1827
353,5315,0.7667
353,5427,0.2333
354,5315,0.0490
354,5427,0.9510
355,5427,0.6095
355,5428,0.3905
356,5427,0.1750
356,5428,0.8250
357,5428,0.9571
357,5427,0.0429
358,5428,1.0000
359,5428,1.0000
360,5428,1.0000
361,5428,1.0000
362,5428,1.0000
363,5428,1.0000
364,5428,1.0000
365,5428,1.0000
366,5428,1.0000
367,5428,1.0000
368,5428,1.0000
369,5428,1.0000
370,5428,1.0000
371,5428,1.0000
372,5428,1.0000
373,5428,1.0000
374,5428,1.0000
375,5428,0.8952
375,5380,0.1048
376,5380,0.9190
376,5428,0.0810
377,5380,1.0000
378,5380,1.0000
379,5380,0.2667
379,-999,0.7333
380,-999,1.0000
381,-999,1.0000
382,-999,1.0000
383,-999,1.0000
384,-999,1.0000
385,-999,1.0000
386,-999,1.0000
387,-999,1.0000
388,-999,1.0000
389,-999,1.0000
390,-999,1.0000
391,-999,1.0000
392,-999,1.0000
393,-999,1.0000
394,-999,1.0000
395,-999,1.0000
396,-999,1.0000
397,-999,1.0000
398,-999,1.0000
399,-999,1.0000
400,-999,1.0000
401,-999,1.0000
402,-999,1.0000
403,-999,1.0000
404,-999,1.0000
405,-999,1.0000
406,-999,1.0000
407,-999,1.0000
408,-999,1.0000
409,-999,1.0000
410,-999,1.0000
411,-999,1.0000
412,-999,1.0000
413,-999,1.0000
414,-999,1.0000
415,-999,1.0000
416,-999,1.0000
417,-999,1.0000
418,-999,1.0000
419,-999,1.0000
420,-999,1.0000
421,-999,1.0000
422,-999,1.0000
423,-999,1.0000
424,-999,1.0000
425,-999,1.0000
426,-999,1.0000
427,-999,1.0000
428,-999,1.0000
429,-999,1.0000
430,-999,1.0000
431,-999,1.0000
432,-999,1.0000
433,-999,1.0000
434,-999,1.0000
435,-999,1.0000
436,-999,1.0000
437,-999,1.0000
438,-999,1.0000
439,-999,1.0000
440,-999,1.0000
441,-999,1.0000
442,-999,1.0000
443,-999,1.0000
444,-999,1.0000
445,-999,1.0000
446,-999,1.0000
447,-999,1.0000
448,5314,0.9854
448,5539,0.0146
449,5314,1.0000
450,5314,1.0000
451,5314,1.0000
452,5314,1.0000
453,5314,1.0000
454,5314,1.0000
455,5314,1.0000
456,5314,1.0000
457,5314,1.0000
458,5314,0.8286
458,5419,0.1714
459,5314,0.4524
459,5419,0.5476
460,5314,0.7225
460,5419,0.2775
461,5314,0.2190
461,5419,0.7810
462,5314,0.0821
462,5419,0.9179
463,5419,1.0000
464,5419,1.0000
465,5419,1.0000
466,5419,1.0000
467,5419,1.0000
468,5419,1.0000
469,5419,1.0000
470,5419,0.9227
470,5315,0.0773
471,5419,0.2657
471,5315,0.7343
472,5419,1.0000
473,5419,1.0000
474,5419,0.9712
474,5423,0.0288
475,5423,0.4856
475,5419,0.5144
476,5423,0.9469
476,5419,0.0531
477,5423,1.0000
478,5423,0.6618
478,5419,0.3382
479,5423,0.2718
479,5419,0.7282
480,5423,0.1053
480,5419,0.8947
481,5419,1.0000
482,5419,1.0000
483,5419,1.0000
484,5419,1.0000
485,5419,1.0000
486,5419,1.0000
487,5419,1.0000
488,5419,1.0000
489,5419,1.0000
490,5419,1.0000
491,5419,1.0000
492,5419,1.0000
493,5419,1.0000
494,5419,0.8846
494,5315,0.1154
495,5419,1.0000
496,5419,1.0000
497,5419,0.9803
497,5315,0.0197
498,5315,0.3857
498,5419,0.6143
499,5315,0.3960
499,5427,0.4554
499,5419,0.1485
500,5427,0.8524
500,5315,0.1476
501,5315,0.1683
501,5427,0.8317
502,5427,0.8863
502,5315,0.1090
502,5428,0.0047
503,5427,0.5291
503,5428,0.4709
504,5427,0.0476
504,5428,0.9524
505,5428,1.0000
506,5428,0.5419
506,5427,0.4581
507,5428,0.7430
507,5427,0.2570
508,5428,1.0000
509,5428,1.0000
510,5428,1.0000
511,5428,1.0000
512,5428,1.0000
513,5428,1.0000
514,5428,1.0000
515,5428,1.0000
516,5428,1.0000
517,5428,1.0000
518,5428,1.0000
519,5428,1.0000
520,5428,1.0000
521,5428,1.0000
522,5428,1.0000
523,5428,1.0000
524,5428,1.0000
525,5428,0.2333
525,5380,0.7667
526,5380,1.0000
527,5380,1.0000
528,5380,0.5190
528,-999,0.4810
529,-999,1.0000
530,-999,1.0000
531,-999,1.0000
532,-999,1.0000
533,-999,1.0000
534,-999,1.0000
535,-999,1.0000
536,-999,1.0000
537,-999,1.0000
538,-999,1.0000
539,-999,1.0000
540,-999,1.0000
541,-999,1.0000
542,-999,1.0000
543,-999,1.0000
544,-999,1.0000
545,-999,1.0000
546,-999,1.0000
547,-999,1.0000
548,-999,1.0000
549,-999,1.0000
550,-999,1.0000
551,-999,1.0000
552,-999,1.0000
553,-999,1.0000
554,-999,1.0000
555,-999,1.0000
556,-999,1.0000
557,-999,1.0000
558,-999,1.0000
559,-999,1.0000
560,-999,1.0000
561,-999,1.0000
562,-999,1.0000
563,-999,1.0000
564,-999,1.0000
565,-999,1.0000
566,-999,1.0000
567,-999,1.0000
568,-999,1.0000
569,-999,1.0000
570,-999,1.0000
571,-999,1.0000
572,-999,1.0000
573,-999,1.0000
574,-999,1.0000
575,-999,1.0000
576,-999,1.0000
577,-999,1.0000
578,-999,1.0000
579,-999,1.0000
580,-999,1.0000
581,-999,1.0000
582,-999,1.0000
583,-999,1.0000
584,-999,1.0000
585,-999,1.0000
586,-999,1.0000
587,-999,1.0000
588,-999,1.0000
589,-999,1.0000
590,-999,1.0000
591,-999,1.0000
592,-999,1.0000
593,-999,1.0000
594,-999,1.0000
595,-999,1.0000
596,-999,1.0000
597,5314,0.5190
597,5539,0.4810
598,5314,0.8708
598,5539,0.1292
599,5314,1.0000
600,5314,1.0000
601,5314,1.0000
602,5314,1.0000
603,5314,1.0000
604,5314,1.0000
605,5314,1.0000
606,5314,1.0000
607,5314,0.5583
607,5419,0.4417
608,5419,0.8010
608,5314,0.1990
609,5419,1.0000
610,5419,1.0000
611,5419,1.0000
612,5419,1.0000
613,5419,1.0000
614,5419,1.0000
615,5419,1.0000
616,5419,1.0000
617,5419,1.0000
618,5419,1.0000
619,5419,0.9087
619,5315,0.0913
620,5315,0.6490
620,5419,0.3510
621,5419,1.0000
622,5419,1.0000
623,5419,1.0000
624,5419,1.0000
625,5419,0.9187
625,5423,0.0813
626,5423,0.3430
626,5419,0.6570
627,5423,0.0096
627,5419,0.9904
628,5419,1.0000
629,5419,1.0000
630,5419,1.0000
631,5419,1.0000
632,5419,1.0000
633,5419,1.0000
634,5419,1.0000
635,5419,1.0000
636,5419,1.0000
637,5419,1.0000
638,5419,1.0000
639,5419,1.0000
640,5419,1.0000
641,5419,1.0000
642,5419,1.0000
643,5419,1.0000
644,5419,1.0000
645,5419,1.0000
646,5419,1.0000
647,5419,1.0000
648,5419,0.7418
648,5427,0.2582
649,5427,0.9024
649,5315,0.0537
649,5419,0.0439
650,5427,0.9813
650,5428,0.0187
651,5427,0.3707
651,5428,0.6293
652,5428,1.0000
653,5428,1.0000
654,5428,0.6714
654,5427,0.3286
655,5428,0.0483
655,5427,0.9517
656,5427,0.3035
656,5428,0.6965
657,5428,1.0000
658,5428,1.0000
659,5428,1.0000
660,5428,1.0000
661,5428,1.0000
662,5428,1.0000
663,5428,1.0000
664,5428,1.0000
665,5428,1.0000
666,5428,1.0000
667,5428,1.0000
668,5428,1.0000
669,5428,1.0000
670,5428,1.0000
671,5428,1.0000
672,5428,1.0000
673,5428,1.0000
674,5428,0.7692
674,5380,0.2000
674,55537,0.0256
674,3297,0.0051
675,5380,0.4879
675,5428,0.0966
675,55537,0.1498
675,3467,0.0242
675,3984,0.1111
675,3338,0.0048
675,3994,0.0483
675,3919,0.0048
675,3299,0.0242
675,3296,0.0386
675,3297,0.0048
675,3292,0.0048
676,5380,0.9571
676,55537,0.0429
677,5380,0.6238
677,-999,0.3762
678,-999,1.0000
679,-999,1.0000
680,-999,1.0000
681,-999,1.0000
682,-999,1.0000
683,-999,1.0000
684,-999,1.0000
685,-999,1.0000
686,-999,1.0000
687,-999,1.0000
688,-999,1.0000
689,-999,1.0000
690,-999,1.0000
691,-999,1.0000
692,-999,1.0000
693,-999,1.0000
694,-999,1.0000
695,-999,1.0000
696,-999,1.0000
697,-999,1.0000
698,-999,1.0000
699,-999,1.0000
700,-999,1.0000
701,-999,1.0000
702,-999,1.0000
703,-999,1.0000
704,-999,1.0000
705,-999,1.0000
706,-999,1.0000
707,-999,1.0000
708,-999,1.0000
709,-999,1.0000
710,-999,1.0000
711,-999,1.0000
712,-999,1.0000
713,-999,1.0000
714,-999,1.0000
715,-999,1.0000
716,-999,1.0000
717,-999,1.0000
718,-999,1.0000
719,-999,1.0000
720,-999,1.0000
721,-999,1.0000
722,-999,1.0000
723,-999,1.0000
724,-999,1.0000
725,-999,1.0000
726,-999,1.0000
727,-999,1.0000
728,-999,1.0000
729,-999,1.0000
730,-999,1.0000
731,-999,1.0000
732,-999,1.0000
733,-999,1.0000
734,-999,1.0000
735,-999,1.0000
736,-999,1.0000
737,-999,1.0000
738,-999,1.0000
739,-999,1.0000
740,-999,1.0000
741,-999,1.0000
742,-999,1.0000
743,-999,1.0000
744,-999,1.0000
745,-999,1.0000
746,5314,0.8155
746,5539,0.1845
747,5314,0.9619
747,5539,0.0381
748,5314,1.0000
749,5314,1.0000
750,5314,1.0000
751,5314,1.0000
752,5314,1.0000
753,5314,1.0000
754,5314,1.0000
755,5314,1.0000
756,5314,0.8230
756,5419,0.1770
757,5314,0.3077
757,5419,0.6923
758,5419,0.9135
758,5314,0.0865
759,5419,1.0000
760,5419,1.0000
761,5419,0.7656
761,5314,0.2344
762,5419,1.0000
763,5419,1.0000
764,5419,1.0000
765,5419,1.0000
766,5419,1.0000
767,5419,1.0000
768,5419,0.6986
768,5315,0.3014
769,5315,0.3029
769,5419,0.6971
770,5419,0.8269
770,5315,0.1731
771,5419,1.0000
772,5419,1.0000
773,5419,1.0000
774,5419,1.0000
775,5419,1.0000
776,5419,1.0000
777,5419,1.0000
778,5419,1.0000
779,5419,1.0000
780,5419,1.0000
781,5419,1.0000
782,5419,1.0000
783,5419,1.0000
784,5419,1.0000
785,5419,1.0000
786,5419,1.0000
787,5419,1.0000
788,5419,0.8341
788,5315,0.1659
789,5419,0.5146
789,5315,0.4854
790,5419,0.8160
790,5315,0.1840
791,5419,1.0000
792,5419,1.0000
793,5419,1.0000
794,5419,1.0000
795,5419,1.0000
796,5419,0.8641
796,5315,0.1068
796,5427,0.0291
797,5419,0.6923
797,5427,0.3077
798,5427,0.5490
798,5315,0.3873
798,5419,0.0637
799,5427,0.9372
799,5315,0.0290
799,5428,0.0338
800,5427,0.0580
800,5428,0.9420
801,5428,1.0000
802,5428,0.9159
802,5427,0.0841
803,5428,0.1373
803,5427,0.7353
803,5315,0.1275
804,5427,0.8698
804,5428,0.0698
804,5315,0.0605
805,5427,0.0728
805,5428,0.9272
806,5428,1.0000
807,5428,1.0000
808,5428,1.0000
809,5428,1.0000
810,5428,1.0000
811,5428,1.0000
812,5428,1.0000
813,5428,1.0000
814,5428,1.0000
815,5428,1.0000
816,5428,1.0000
817,5428,1.0000
818,5428,1.0000
819,5428,1.0000
820,5428,1.0000
821,5428,1.0000
822,5428,0.9714
822,3984,0.0286
823,5428,0.3143
823,55537,0.0143
823,3297,0.1000
823,3299,0.1857
823,3298,0.0095
823,3467,0.1095
823,3296,0.1333
823,3292,0.0286
823,3984,0.0857
823,3994,0.0048
823,3338,0.0143
824,55537,0.0653
824,3299,0.0503
824,3296,0.1558
824,3297,0.1156
824,3292,0.0603
824,3984,0.0553
824,3994,0.0503
824,3918,0.0151
824,3928,0.0151
824,3467,0.0804
824,3298,0.0050
824,3490,0.1307
824,3294,0.0553
824,3443,0.1206
824,3974,0.0251
825,55537,0.1897
825,5380,0.2974
825,3490,0.2821
825,3294,0.1436
825,3443,0.0308
825,3439,0.0103
825,3292,0.0308
825,-999,0.0154
826,5380,0.4154
826,-999,0.3077
826,55537,0.0359
826,3490,0.0410
826,3294,0.0769
826,3292,0.1231
827,-999,1.0000
828,-999,1.0000
829,-999,1.0000
830,-999,1.0000
831,-999,1.0000
832,-999,1.0000
833,-999,1.0000
834,-999,1.0000
835,-999,1.0000
836,-999,1.0000
837,-999,1.0000
838,-999,1.0000
839,-999,1.0000
840,-999,1.0000
841,-999,1.0000
842,-999,1.0000
843,-999,1.0000
844,-999,1.0000
845,-999,1.0000
846,-999,1.0000
847,-999,1.0000
848,-999,1.0000
849,-999,1.0000
850,-999,1.0000
851,-999,1.0000
852,-999,1.0000
853,-999,1.0000
854,-999,1.0000
855,-999,1.0000
856,-999,1.0000
857,-999,1.0000
858,-999,1.0000
859,-999,1.0000
860,-999,1.0000
861,-999,1.0000
862,-999,1.0000
863,-999,1.0000
864,-999,1.0000
865,-999,1.0000
866,-999,1.0000
867,-999,1.0000
868,-999,1.0000
869,-999,1.0000
870,-999,1.0000
871,-999,1.0000
872,-999,1.0000
873,-999,1.0000
874,-999,1.0000
875,-999,1.0000
876,-999,1.0000
877,-999,1.0000
878,-999,1.0000
879,-999,1.0000
880,-999,1.0000
881,-999,1.0000
882,-999,1.0000
883,-999,1.0000
884,-999,1.0000
885,-999,1.0000
886,-999,1.0000
887,-999,1.0000
888,-999,1.0000
889,-999,1.0000
890,-999,1.0000
891,-999,1.0000
892,-999,1.0000
893,-999,1.0000
894,-999,1.0000
895,5539,0.1381
895,5314,0.8619
896,5314,1.0000
897,5314,1.0000
898,5314,1.0000
899,5314,1.0000
900,5314,1.0000
901,5314,1.0000
902,5314,1.0000
903,5314,1.0000
904,5314,1.0000
905,5314,1.0000
906,5314,0.7123
906,5419,0.2877
907,5419,0.5311
907,5314,0.4689
908,5419,1.0000
909,5419,0.7225
909,5314,0.2775
910,5419,0.5990
910,5314,0.4010
911,5419,1.0000
912,5419,1.0000
913,5419,1.0000
914,5419,1.0000
915,5419,1.0000
916,5419,1.0000
917,5419,1.0000
918,5419,0.9279
918,5315,0.0721
919,5419,0.8708
919,5315,0.1292
920,5419,1.0000
921,5419,1.0000
922,5419,1.0000
923,5419,1.0000
924,5419,1.0000
925,5419,1.0000
926,5419,1.0000
927,5419,1.0000
928,5419,1.0000
929,5419,1.0000
930,5419,1.0000
931,5419,1.0000
932,5419,1.0000
933,5419,1.0000
